product_code,product_name,color,line_name,group_code,group_name,so_don,tong_sl,tong_dt,gia_min,gia_max,gia_tb,so_dai_ly,so_tinh,dt_per_don,rank,cumulative_pct,abc
000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,Xe New 26,CITYBIKE_P,Xe phổ thông,566,2483.0,3537208993.0,1180000.0,2490741.0,1426252.0976039933,347,49,6249486.0,1,6.46,A
000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,Xe New 24,CITYBIKE_P,Xe phổ thông,480,1713.0,2320473494.0,1130000.0,1846574.0,1359704.83458498,309,49,4834320.0,2,10.7,A
000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,371,1211.0,1855162820.0,1200000.0,2592593.0,1529744.6210052911,242,44,5000439.0,3,14.09,A
000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,Xe New 26,CITYBIKE_P,Xe phổ thông,381,1252.0,1811200009.0,1180000.0,2166666.6,1424237.797070707,270,45,4753806.0,4,17.4,A
000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,375,1190.0,1759770654.0,1250000.0,2453704.0,1470266.7407052894,265,42,4692722.0,5,20.61,A
000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,Xe New 26,CITYBIKE_P,Xe phổ thông,383,1138.0,1678308225.0,1180000.0,2490741.0,1428004.9994300518,247,42,4382006.0,6,23.68,A
000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,Ghi,Xe MTB 26 02,CITYBIKE_P,Xe phổ thông,296,895.0,1444342063.0,1250000.0,2768519.0,1588650.855980392,208,37,4879534.0,7,26.32,A
000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,Xe Puppy 20,KIDBIKE_1,Xe trẻ em nhóm 1,380,1162.0,1434516070.0,1050000.0,2027778.0,1237864.9266153846,250,46,3775042.0,8,28.94,A
000207004000000,Xe đạp Thống Nhất 219-05-26,219-05-26,Xe 219-05-26,CITYBIKE_P,Xe phổ thông,224,941.0,1381409524.0,1250000.0,2361111.0,1419939.3453478261,157,35,6167007.0,9,31.46,A
000230002023000,Xe đạp Thống Nhất LD 26 Kem,Kem,Xe LD 26,CITYBIKE_P,Xe phổ thông,227,770.0,1362615654.0,1280000.0,2768519.0,1795964.1401984126,164,30,6002712.0,10,33.95,A
000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Ghi,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,311,910.0,1318725170.0,1250000.0,2453704.0,1453577.52615625,224,39,4240274.0,11,36.36,A
000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",Ngọc,Xe Nữ,CITYBIKE_P,Xe phổ thông,129,886.0,1308233962.0,1300000.0,2361111.0,1476508.585185185,100,19,10141349.0,12,38.75,A
000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,Xe New 26,CITYBIKE_P,Xe phổ thông,301,832.0,1172070127.0,1180000.0,2166666.6,1406588.9304234528,217,39,3893921.0,13,40.89,A
000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,Xe New 24,CITYBIKE_P,Xe phổ thông,294,821.0,1112254536.0,1130000.0,1846574.0,1354001.1854304636,218,44,3783179.0,14,42.92,A
000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,Kem,Xe Puppy 20,KIDBIKE_1,Xe trẻ em nhóm 1,300,702.0,833759844.0,1050000.0,2027778.0,1196209.4772168284,229,46,2779199.0,15,44.44,A
000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,Đen,Xe GN 06-24 2.0,CITYBIKE_P,Xe phổ thông,233,571.0,792797344.0,1180000.0,1544444.44,1384287.633220339,177,38,3402564.0,16,45.89,A
000224002002000,Xe đạp Thống Nhất New 24 Trắng,Trắng,Xe New 24,CITYBIKE_P,Xe phổ thông,250,576.0,779729677.0,1130000.0,2398148.0,1360339.864552529,197,39,3118919.0,17,47.32,A
000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,Ghi,Xe GN 06-24 2.0,CITYBIKE_P,Xe phổ thông,212,532.0,777028965.0,1200000.0,1544444.44,1437474.2851141552,159,35,3665231.0,18,48.74,A
000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,Xe New 24,CITYBIKE_P,Xe phổ thông,241,573.0,773837487.0,1130000.0,2222222.2,1337063.004467213,188,39,3210944.0,19,50.15,A
000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,Trắng,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,220,510.0,718796802.0,1200000.0,2037037.0,1436563.8545454545,149,32,3267258.0,20,51.46,A
000335002001000,Xe đạp Thống Nhất Super 24 Đen,Đen,Xe Super 24,SPORTBIKE_S,Xe thể thao thép,135,358.0,718213012.0,1200000.0,2488241.0,1815617.1407407408,84,17,5320096.0,21,52.77,A
000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,Đen,Xe GN 06 20 2024,KIDBIKE_1,Xe trẻ em nhóm 1,219,574.0,693316689.0,1150000.0,1842593.0,1202383.2531818182,168,38,3165830.0,22,54.04,A
000214004000000,Xe đạp Thống Nhất GN 05-26,05-26,Xe GN 05-26,CITYBIKE_P,Xe phổ thông,153,484.0,686770756.0,1250000.0,2361111.0,1452858.2403870968,118,32,4488698.0,23,55.3,A
000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,Xanh Tím,Xe 219-26,CITYBIKE_P,Xe phổ thông,159,518.0,682150847.0,1086111.0,2268519.0,1302203.2188888888,133,32,4290257.0,24,56.54,A
000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,Xanh,Xe Puppy 20,KIDBIKE_1,Xe trẻ em nhóm 1,235,544.0,650642097.0,1050000.0,2027778.0,1211616.2889166665,173,40,2768690.0,25,57.73,A
000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,Xanh dương,Xe MTB 26 02,CITYBIKE_P,Xe phổ thông,185,402.0,610686802.0,1250000.0,2768518.52,1525709.0582978723,144,31,3301010.0,26,58.85,A
